sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 02, 2026 08:28:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=11)	        0(0)	     0(0)	      0(0)	        8(8)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=11,ACTIVE_LOW=0,OFF_ASSERTION=1)	      18(18)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=11)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=10)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=9)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=8)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=7)	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=6)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +xhbram_user_if:hbram_user_if_b64bd53245f74d6a99e917bfa5663d9f(AXI_DBW=128,DUAL_RAM=0,RAM_2DBW=32,RAM_DMW=4)	      60(60)	     0(0)	    11(11)	      86(86)	     0(0)	     0(0)	     0(0)	
    +calibration_block.hbram_cal_top_inst:hbram_cal_controller_top_b64bd53245f74d6a99e917bfa5663d9f(CAL_MODE=2,CAL_BYTES=100,RAM_DBW=16,RAM_ABW=25,CFG_CR0=16'b1000111100101111,CFG_CR1=16'b1111111111000001,CR0W_CA=48'b010000000001100000,CR1W_CA=48'b010000000000000000000000010000000001100000,DQIN_MODE="RESYNC",TCYC=5000,DUAL_RAM=0,INDIVI_DUAL_CAL=0,ONE_SEC=200000000,RECAL_DAYS=7)	      456(1)	     0(0)	     99(0)	      639(2)	     0(0)	     2(0)	     0(0)	
     +hbram_cal_ctrl_inst:hbram_cal_ctrl_b64bd53245f74d6a99e917bfa5663d9f(CAL_MODE=2,RAM_DBW=16,RAM_ABW=25,CFG_CR0=16'b1000111100101111,CFG_CR1=16'b1111111111000001,CR0W_CA=48'b010000000001100000,CR1W_CA=48'b010000000000000000000000010000000001100000,TCYC=5000,DUAL_RAM=0,INDIVI_DUAL_CAL=0)	    311(248)	     0(0)	    75(70)	    391(364)	     0(0)	     2(0)	     0(0)	
      +fail_safe_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(ASYNC_STAGE=8,WIDTH=1)	        8(8)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_rden_block.genblk1.rd_data_fifo:efx_fifo_top_b64bd53245f74d6a99e917bfa5663d9f(DEPTH=16,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",UNDERFLOW_PROTECT=0)	       55(0)	     0(0)	      5(0)	       27(0)	     0(0)	     2(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_b64bd53245f74d6a99e917bfa5663d9f(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_b64bd53245f74d6a99e917bfa5663d9f(WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=32,RDATA_WIDTH=32,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_b64bd53245f74d6a99e917bfa5663d9f(SYNC_CLK=0,WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,OVERFLOW_PROTECT=1)	      51(31)	     0(0)	      5(5)	      27(12)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(4)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	      10(10)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        3(3)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=5,ACTIVE_LOW=0,OFF_ASSERTION=1)	      10(10)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_b64bd53245f74d6a99e917bfa5663d9f(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +pll_mode_block.genblk1.hbram_cal_mst_inst:hbram_cal_mst_b64bd53245f74d6a99e917bfa5663d9f(RAM_DBW=16,ONE_SEC=200000000,ONE_DAY=24,RECAL_DAYS=7,CAL_BYTES=100,DUAL_RAM=0)	      13(13)	     0(0)	      0(0)	      25(25)	     0(0)	     0(0)	     0(0)	
     +pll_mode_block.genblk1.hbram_cal_slv_inst:hbram_cal_slv_b64bd53245f74d6a99e917bfa5663d9f(CAL_BYTES=100,RAM_DBW=16,RAM_ABW=25,DUAL_RAM=0,INDIVI_DUAL_CAL=0)	    131(131)	     0(0)	    24(24)	    221(221)	     0(0)	     0(0)	     0(0)	
 +u_risc_v:SapphireSoc                                      	     6851(0)	    10(0)	    703(0)	     5476(0)	     0(0)	    43(0)	     4(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_2c15f6f801f0432490dd1015460eb67f	  6851(3170)	    10(0)	   703(33)	   5476(969)	     0(0)	    43(0)	     4(0)	
   +system_cores_0_logic_cpu:VexRiscv_2c15f6f801f0432490dd1015460eb67f	  1585(1430)	     3(2)	  347(335)	  2374(2007)	     0(0)	    16(4)	     4(4)	
    +IBusCachedPlugin_cache:InstructionCache_2c15f6f801f0432490dd1015460eb67f	      57(57)	     0(0)	      6(6)	      37(37)	     0(0)	     6(6)	     0(0)	
    +dataCache_1:DataCache_2c15f6f801f0432490dd1015460eb67f 	      98(98)	     0(0)	      6(6)	    140(140)	     0(0)	     6(6)	     0(0)	
    +systemCd_logic_outputReset_buffercc:BufferCC_2c15f6f801f0432490dd1015460eb67f	        0(0)	     1(1)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +EfxCPUSp2_inst:EfxCPUSp2_2c15f6f801f0432490dd1015460eb67f	        0(0)	     0(0)	      0(0)	    190(190)	     0(0)	     0(0)	     0(0)	
   +system_riscvJtag_debug_logic_dm:DebugModule_2c15f6f801f0432490dd1015460eb67f	    197(197)	     0(0)	      0(0)	    230(230)	     0(0)	     0(0)	     0(0)	
   +io_asyncReset_asyncAssertSyncDeassert_buffercc:BufferCC_21_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +debugCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_22_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +peripheralCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_14_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +ddrCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_24_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +userInterruptA_buffercc:BufferCC_25_2c15f6f801f0432490dd1015460eb67f	        0(0)	     1(1)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +system_coreStopTime_buffercc:BufferCC_25_2c15f6f801f0432490dd1015460eb67f	        0(0)	     1(1)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +system_riscvJtag_debug_systemReset_asyncAssertSyncDeassert_buffercc:BufferCC_27_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +system_riscvJtag_hard_noTap_tunnel:DebugTransportModuleTunneled_2c15f6f801f0432490dd1015460eb67f	    276(162)	     4(3)	      0(0)	    106(104)	     0(0)	     0(0)	     0(0)	
    +logic_jtagLogic_dmiCmd_ccToggle:FlowCCByToggle_2c15f6f801f0432490dd1015460eb67f	      42(42)	     1(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +inputArea_target_buffercc:BufferCC_1_2c15f6f801f0432490dd1015460eb67f	        0(0)	     1(1)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +logic_systemLogic_bus_rsp_ccToggle:FlowCCByToggle_1_2c15f6f801f0432490dd1015460eb67f	      72(68)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +system_riscvJtag_hard_noTap_tunnel_toplevel_debugCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_2_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +inputArea_target_buffercc:BufferCC_3_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_2c15f6f801f0432490dd1015460eb67f	        3(0)	     0(0)	      0(0)	       86(4)	     0(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_2c15f6f801f0432490dd1015460eb67f	        3(3)	     0(0)	      0(0)	      82(82)	     0(0)	     0(0)	     0(0)	
   +system_ddr_ddrLogic_bmbToAxiBridge:BmbToAxi4SharedBridge_2c15f6f801f0432490dd1015460eb67f	      84(40)	     0(0)	    36(12)	      82(64)	     0(0)	     2(0)	     0(0)	
    +writeCmdInfo_fifo:StreamFifo_2c15f6f801f0432490dd1015460eb67f	      22(22)	     0(0)	    12(12)	        9(9)	     0(0)	     1(1)	     0(0)	
    +readCmdInfo_fifo:StreamFifo_2c15f6f801f0432490dd1015460eb67f	      22(22)	     0(0)	    12(12)	        9(9)	     0(0)	     1(1)	     0(0)	
   +system_ddr_ddrLogic_cc_fifo:BmbCcFifo_2c15f6f801f0432490dd1015460eb67f	      116(0)	     0(0)	     12(0)	       66(0)	     0(0)	    17(0)	     0(0)	
    +io_input_cmd_queue:StreamFifoCC_2c15f6f801f0432490dd1015460eb67f	      58(28)	     0(0)	      6(6)	      33(33)	     0(0)	   10(10)	     0(0)	
     +popToPushGray_buffercc:BufferCC_4_2c15f6f801f0432490dd1015460eb67f	      14(14)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +system_ddr_ddrLogic_cc_fifo_toplevel_systemCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_5_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +pushToPopGray_buffercc:BufferCC_6_2c15f6f801f0432490dd1015460eb67f	      14(14)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +io_output_rsp_queue:StreamFifoCC_1_2c15f6f801f0432490dd1015460eb67f	      58(28)	     0(0)	      6(6)	      33(33)	     0(0)	     7(7)	     0(0)	
     +popToPushGray_buffercc:BufferCC_7_2c15f6f801f0432490dd1015460eb67f	      14(14)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +system_ddr_ddrLogic_cc_fifo_toplevel_ddrCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_8_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +pushToPopGray_buffercc:BufferCC_9_2c15f6f801f0432490dd1015460eb67f	      14(14)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +system_ddr_ddrLogic_arbiterAxi3Shared:Axi4SharedArbiter_2c15f6f801f0432490dd1015460eb67f	       12(4)	     0(0)	      0(0)	       22(9)	     0(0)	     0(0)	     0(0)	
    +cmdArbiter:StreamArbiter_1_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        3(3)	     0(0)	     0(0)	     0(0)	
    +cmdRouteFork_thrown_translated_fifo:StreamFifoLowLatency_2c15f6f801f0432490dd1015460eb67f	        6(0)	     0(0)	      0(0)	       10(0)	     0(0)	     0(0)	     0(0)	
     +fifo:StreamFifo_2_2c15f6f801f0432490dd1015460eb67f    	        6(6)	     0(0)	      0(0)	      10(10)	     0(0)	     0(0)	     0(0)	
   +system_ddr_ddrLogic_ddrAToAxi3_patchArw_translated_thrown_fifo:StreamFifoLowLatency_1_2c15f6f801f0432490dd1015460eb67f	       14(0)	     0(0)	      0(0)	       17(0)	     0(0)	     0(0)	     0(0)	
    +fifo:StreamFifo_3_2c15f6f801f0432490dd1015460eb67f     	      14(14)	     0(0)	      0(0)	      17(17)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoder_1_2c15f6f801f0432490dd1015460eb67f	      17(17)	     0(0)	    15(15)	    170(170)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_upSizer:BmbUpSizerBridge_2c15f6f801f0432490dd1015460eb67f	    114(114)	     0(0)	      0(0)	    137(137)	     0(0)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_2c15f6f801f0432490dd1015460eb67f	        4(4)	     0(0)	      0(0)	        5(5)	     0(0)	     4(4)	     0(0)	
   +system_bridge_bmb_unburstify:BmbUnburstify_2c15f6f801f0432490dd1015460eb67f	      29(29)	     0(0)	      0(0)	      46(46)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_crossClock:BmbCcToggle_2c15f6f801f0432490dd1015460eb67f	      214(0)	     0(0)	      0(0)	        6(0)	     0(0)	     0(0)	     0(0)	
    +io_input_cmd_ccToggle:StreamCCByToggle_2c15f6f801f0432490dd1015460eb67f	    131(125)	     0(0)	      0(0)	        5(5)	     0(0)	     0(0)	     0(0)	
     +outHitSignal_buffercc:BufferCC_10_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +system_bridge_bmb_crossClock_toplevel_systemCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_11_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +pushArea_target_buffercc:BufferCC_12_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +io_output_rsp_ccToggle:StreamCCByToggle_1_2c15f6f801f0432490dd1015460eb67f	      83(77)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +outHitSignal_buffercc:BufferCC_16_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +system_bridge_bmb_crossClock_toplevel_peripheralCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_14_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +pushArea_target_buffercc:BufferCC_15_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_unburstify_1:BmbUnburstify_2c15f6f801f0432490dd1015460eb67f	      17(17)	     0(0)	      0(0)	      33(33)	     0(0)	     0(0)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_2_2c15f6f801f0432490dd1015460eb67f	      87(87)	     0(0)	      0(0)	    217(217)	     0(0)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_2c15f6f801f0432490dd1015460eb67f	    168(168)	     0(0)	    63(63)	    143(143)	     0(0)	     0(0)	     0(0)	
   +system_uart_0_io_logic:BmbUartCtrl_2c15f6f801f0432490dd1015460eb67f	     182(66)	     0(0)	     82(9)	     189(57)	     0(0)	     2(0)	     0(0)	
    +uartCtrl_1:UartCtrl_2c15f6f801f0432490dd1015460eb67f   	      66(21)	     0(0)	    27(21)	     108(27)	     0(0)	     0(0)	     0(0)	
     +tx:UartCtrlTx_2c15f6f801f0432490dd1015460eb67f        	      11(11)	     0(0)	      0(0)	      34(34)	     0(0)	     0(0)	     0(0)	
     +rx:UartCtrlRx_2c15f6f801f0432490dd1015460eb67f        	      34(32)	     0(0)	      6(6)	      47(47)	     0(0)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_16_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_4_2c15f6f801f0432490dd1015460eb67f	      25(25)	     0(0)	    23(23)	      14(14)	     0(0)	     1(1)	     0(0)	
    +uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_4_2c15f6f801f0432490dd1015460eb67f	      25(25)	     0(0)	    23(23)	      10(10)	     0(0)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_2c15f6f801f0432490dd1015460eb67f	    193(105)	     0(0)	     63(0)	     192(88)	     0(0)	     2(0)	     0(0)	
    +ctrl:TopLevel_2c15f6f801f0432490dd1015460eb67f         	      32(32)	     0(0)	    11(11)	      68(68)	     0(0)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_6_2c15f6f801f0432490dd1015460eb67f	      28(28)	     0(0)	    26(26)	      17(17)	     0(0)	     1(1)	     0(0)	
    +ctrl_io_rsp_queueWithOccupancy:StreamFifo_7_2c15f6f801f0432490dd1015460eb67f	      28(28)	     0(0)	    26(26)	      19(19)	     0(0)	     1(1)	     0(0)	
   +system_i2c_0_io_logic:BmbI2cCtrl_2c15f6f801f0432490dd1015460eb67f	    273(219)	     0(0)	    52(13)	    369(307)	     0(0)	     0(0)	     0(0)	
    +i2cCtrl:I2cSlave_2c15f6f801f0432490dd1015460eb67f      	      54(50)	     0(0)	    39(39)	      62(62)	     0(0)	     0(0)	     0(0)	
     +io_i2c_scl_read_buffercc:BufferCC_17_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +io_i2c_sda_read_buffercc:BufferCC_17_2c15f6f801f0432490dd1015460eb67f	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +io_apbSlave_0_logic:BmbToApb3Bridge_2c15f6f801f0432490dd1015460eb67f	      39(39)	     0(0)	      0(0)	        6(6)	     0(0)	     0(0)	     0(0)	
   +io_apbSlave_1_logic:BmbToApb3Bridge_2c15f6f801f0432490dd1015460eb67f	      40(40)	     0(0)	      0(0)	        5(5)	     0(0)	     0(0)	     0(0)	
   +io_apbSlave_2_logic:BmbToApb3Bridge_2c15f6f801f0432490dd1015460eb67f	        7(7)	     0(0)	      0(0)	        6(6)	     0(0)	     0(0)	     0(0)	
   +bufferCC_32:BufferCC_2c15f6f801f0432490dd1015460eb67f   	        0(0)	     1(1)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
 +u_hw_accel_apb3:hw_accel_apb3                             	        3(3)	     0(0)	      0(0)	        4(4)	     0(0)	     0(0)	     0(0)	
 +u_dma:dma                                                 	     4719(0)	     0(0)	    972(0)	     5974(0)	     0(0)	   100(0)	     0(0)	
  +u_EfxDMA:EfxDMA_44d0531f71c04713b005469f3b8ead04         	  4719(1854)	     0(0)	    972(0)	   5974(805)	     0(0)	   100(0)	     0(0)	
   +core:EfxDMA_Core_44d0531f71c04713b005469f3b8ead04       	  2240(1221)	     0(0)	  908(833)	  4968(1912)	     0(0)	    72(0)	     0(0)	
    +memory_core:EfxDMA_DmaMemoryCore_44d0531f71c04713b005469f3b8ead04	    305(305)	     0(0)	    52(52)	    711(711)	     0(0)	   72(72)	     0(0)	
    +b2m_fsm_aggregate_engine:EfxDMA_Aggregator_44d0531f71c04713b005469f3b8ead04	    714(714)	     0(0)	    23(23)	  2345(2345)	     0(0)	     0(0)	     0(0)	
   +withCtrlCc_apbCc:EfxDMA_Apb3CC_44d0531f71c04713b005469f3b8ead04	     142(50)	     0(0)	      0(0)	        7(5)	     0(0)	     0(0)	     0(0)	
    +flowCCUnsafeByToggle:EfxDMA_FlowCCUnsafeByToggle_44d0531f71c04713b005469f3b8ead04	      51(49)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +inputArea_target_buffercc:EfxDMA_BufferCC_44d0531f71c04713b005469f3b8ead04	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
    +flowCCUnsafeByToggle_1:EfxDMA_FlowCCUnsafeByToggle_1_44d0531f71c04713b005469f3b8ead04	      41(39)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
     +inputArea_target_buffercc:EfxDMA_BufferCC_1_44d0531f71c04713b005469f3b8ead04	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +io_interrupts_buffercc:EfxDMA_BufferCC_12_44d0531f71c04713b005469f3b8ead04	      10(10)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +readLogic_bridge:EfxDMA_BmbToAxi4ReadOnlyBridge_44d0531f71c04713b005469f3b8ead04	       34(0)	     0(0)	    12(12)	       33(0)	     0(0)	     1(0)	     0(0)	
    +contextRemover:EfxDMA_BmbContextRemover_44d0531f71c04713b005469f3b8ead04	      34(15)	     0(0)	      0(0)	       33(8)	     0(0)	     1(0)	     0(0)	
     +fifoFork_thrown_translated_fifo:EfxDMA_StreamFifo_44d0531f71c04713b005469f3b8ead04	      19(19)	     0(0)	      0(0)	      25(25)	     0(0)	     1(1)	     0(0)	
   +readLogic_beforeQueue_fifo:EfxDMA_StreamFifo_3_44d0531f71c04713b005469f3b8ead04	      28(28)	     0(0)	    16(16)	      10(10)	     0(0)	     7(7)	     0(0)	
   +writeLogic_retainer:EfxDMA_BmbWriteRetainer_44d0531f71c04713b005469f3b8ead04	    241(213)	     0(0)	     24(8)	       17(8)	     0(0)	    11(0)	     0(0)	
    +io_input_cmd_fifo:EfxDMA_StreamFifo_1_44d0531f71c04713b005469f3b8ead04	      28(28)	     0(0)	    16(16)	        9(9)	     0(0)	   11(11)	     0(0)	
   +writeLogic_bridge:EfxDMA_BmbToAxi4WriteOnlyBridge_44d0531f71c04713b005469f3b8ead04	       20(3)	     0(0)	    12(12)	       31(5)	     0(0)	     1(0)	     0(0)	
    +contextRemover:EfxDMA_BmbContextRemover_1_44d0531f71c04713b005469f3b8ead04	       17(6)	     0(0)	      0(0)	       26(9)	     0(0)	     1(0)	     0(0)	
     +fifoFork_thrown_translated_fifo:EfxDMA_StreamFifo_2_44d0531f71c04713b005469f3b8ead04	      11(11)	     0(0)	      0(0)	      17(17)	     0(0)	     1(1)	     0(0)	
